t_004000.jpg,archive footage: Superman/Corto Maltese-style comic panel closeup (Italian text), not a shelf
t_004002.jpg,archive footage: comic panel closeup continued, not a shelf
s_004005_33.jpg,unrelated b-roll: blurry distant modern public library seen through railings, no legible spines
t_004218.jpg,archival footage: Umberto Eco on stage reading from papers, red curtain, no shelves
t_004220.jpg,archival footage: Umberto Eco on stage reading from papers, red curtain, no shelves
t_004222.jpg,archival footage: Umberto Eco on stage reading from papers, red curtain, no shelves
t_004224.jpg,institutional library stacks room with spiral staircase (catalog tag "FA 11" visible), uniform bound journal volumes, individual titles illegible - likely archive/deposit not Eco's personal shelving
t_004226.jpg,institutional library corridor (catalog tags "FA II"), dolly shot through nested rooms, spines too distant/dark to read
t_004228.jpg,institutional library corridor, same dolly shot, spines illegible
t_004230.jpg,institutional library corridor, same dolly shot, spines illegible
t_004232.jpg,institutional library corridor, same dolly shot, spines illegible
t_004234.jpg,institutional library corridor (catalog tags "G VI"), spines illegible
t_004236.jpg,institutional library corridor, same room, spines illegible
t_004238.jpg,institutional library corridor, spines illegible (dolly through nested rooms)
t_004240.jpg,institutional library corridor, spines illegible
t_004242.jpg,archival footage: Umberto Eco on stage reading from papers, red curtain, no shelves
t_004244.jpg,archival footage: Umberto Eco on stage reading from papers, red curtain, no shelves
t_004246.jpg,archival footage: Umberto Eco on stage reading from papers, red curtain, no shelves
s_004305_12.jpg,exterior shot: bird on a balcony ledge against sky, not a shelf
t_004310.jpg,person: woman (likely Eco's daughter) standing in a modern white-shelved room looking up, not yet reaching a legible shelf
t_004320.jpg,overview of the same corridor-shelf-A scene as t_004312-t_004318, no new legible titles beyond those frames
t_004322.jpg,overview of the same corridor-shelf-A scene, no new legible titles beyond s_004321_75
t_004330.jpg,person overview of corridor-shelf-A, no new legible titles beyond earlier frames
t_004332.jpg,interior pages/illustration of the previously pulled book (from t_004324), no spine/title text
t_004334.jpg,interior pages/illustration of the same book, no spine/title text
t_004336.jpg,interior pages/illustration of the same book, no spine/title text
t_004338.jpg,interior pages/illustration of the same book, no spine/title text
t_004340.jpg,interior pages/illustration of the same book, no spine/title text
t_004342.jpg,interior pages/illustration of the previously pulled book, no spine/title text
s_004343_33.jpg,transitional shot, woman moving hand along corridor-shelf-A, no new legible titles beyond t_004316/t_004350
t_004344.jpg,transitional shot, same shelf, no new legible titles
t_004346.jpg,transitional shot, same shelf, no new legible titles
t_004348.jpg,transitional shot, same shelf, no new legible titles
t_004352.jpg,same corridor-shelf-A scene, woman gesturing along shelves, no new legible titles
t_004354.jpg,same scene, woman gesturing upward (literature classification), no new legible titles
t_004356.jpg,same scene, woman gesturing upward, no new legible titles
t_004358.jpg,same scene, woman gesturing upward, no new legible titles
t_004400.jpg,same scene, woman reaching to a high shelf, no new legible titles
t_004404.jpg,wide shot of the same corridor-shelf-A scene, no new legible titles beyond t_004316/t_004350
t_004406.jpg,same corridor-shelf-A scene, woman reaching upward, no new legible titles
t_004408.jpg,talking head: bearded man interviewed, blurred bookshelf background, no legible spines
s_004417_08.jpg,talking head: same man, blurred bookshelf background, no legible spines
t_004418.jpg,talking head: same man, blurred bookshelf background, no legible spines
t_004420.jpg,talking head: same man, blurred bookshelf background, no legible spines
s_004427_54.jpg,talking head: same man, blurred bookshelf background, no legible spines
t_004442.jpg,cutaway: marbled book endpaper with woman's reaction shot, no legible book title
t_004444.jpg,title card over marbled endpaper ("dagli scritti di Umberto Eco / Walter Leonardi in...") with Eco's ex libris bookplate; not a shelf/spine shot
t_004548.jpg,extreme closeup talking-head shot outdoors, blurred garden background, no shelves
t_004552.jpg,extreme closeup talking-head shot outdoors, blurred garden background, no shelves
t_004554.jpg,extreme closeup talking-head shot outdoors, blurred garden background, no shelves
t_004556.jpg,extreme closeup talking-head shot outdoors, blurred garden background, no shelves
t_004558.jpg,extreme closeup talking-head shot outdoors, blurred garden background, no shelves
t_004602.jpg,extreme closeup talking-head shot outdoors, blurred garden background, no shelves
t_004604.jpg,extreme closeup talking-head shot outdoors, blurred garden background, no shelves
t_004606.jpg,extreme closeup talking-head shot outdoors, blurred garden background, no shelves
t_004610.jpg,extreme closeup talking-head shot outdoors, blurred garden background, no shelves
t_004632.jpg,archival black-and-white photo of Albert Einstein, documentary b-roll, not library footage
t_004636.jpg,archival black-and-white photo of Pope Pius XII, documentary b-roll, not library footage
s_004643_08.jpg,archival black-and-white group photo "Intervista radiofonica 1973" (Gruppo 63/Alfabeta), no shelves
t_004644.jpg,archival black-and-white group photo "Intervista radiofonica 1973", no shelves
t_004646.jpg,archival color footage of a football on dirt pitch, unrelated b-roll, no shelves
t_004650.jpg,archival color footage of a football match in a stadium, unrelated b-roll, no shelves
s_004651_00.jpg,archival color footage of stadium crowd, unrelated b-roll, no shelves
t_004652.jpg,archival color footage of stadium crowd, unrelated b-roll, no shelves
t_004654.jpg,archival color footage of stadium crowd, unrelated b-roll, no shelves
t_004656.jpg,archival color footage of a football match, unrelated b-roll, no shelves
t_004658.jpg,archival color footage of stadium crowd, unrelated b-roll, no shelves
t_004700.jpg,archival color footage of stadium crowd, unrelated b-roll, no shelves
t_004706.jpg,archival black-and-white photo of a panel/conference table, documentary b-roll, no shelves
t_004708.jpg,archival black-and-white photo of a panel/conference table, documentary b-roll, no shelves
s_004709_96.jpg,archival black-and-white photo of two men (Eco and colleague) at a conference table with pipe/cigarette, documentary b-roll, no shelves
s_004711_08.jpg,archival black-and-white photo of a meeting with Coca-Cola bottles on table, documentary b-roll, no shelves
t_004712.jpg,archival black-and-white photo of editorial staff at a table, small magazine covers on wall but too distant/unrelated to Eco library, skip
s_004713_79.jpg,archival black-and-white photo of a garden party gathering, documentary b-roll, no shelves
s_004715_21.jpg,archival black-and-white photo of two men at a panel, sign reads "G. Panozzo", documentary b-roll, no shelves
t_004716.jpg,archival black-and-white photo of Eco and J. Lotman at a conference panel, documentary b-roll, no shelves
t_004718.jpg,archival black-and-white group photo in an office corridor, documentary b-roll, no shelves
s_004723_00.jpg,archival color footage of a TV screen showing a news interview, documentary b-roll, no shelves
t_004724.jpg,archival color footage of a TV screen showing a news interview, documentary b-roll, no shelves
t_004726.jpg,archival color footage of a TV screen showing a news interview, documentary b-roll, no shelves
s_004925_62.jpg,archival RAI TV studio footage two men twin CRT monitors RAI logo no shelves
s_004931_21.jpg,archival RAI TV studio footage continuation no shelves
t_004934.jpg,Eco orange leather chair blurred glass display case with manuscripts entirely out of focus no legible text
s_004937_62.jpg,same orange-chair archival scene continuation blurred background no legible text
t_004944.jpg,hand-drawn cartoon sketch monk character illustration not book spine content
t_004946.jpg,hand-drawn cartoon sketch monk character illustration not book spine content
t_004948.jpg,hand-drawn cartoon sketch monk character illustration not book spine content
t_004950.jpg,hand-drawn cartoon sketch monk character illustration not book spine content
t_004952.jpg,hand-drawn cartoon sketch monk character illustration not book spine content
t_004954.jpg,hand-drawn cartoon sketch monk character illustration not book spine content
t_004956.jpg,hand-drawn cartoon sketch monk character illustration not book spine content
t_004958.jpg,hand-drawn cartoon sketch monk character illustration not book spine content
s_004157_38.jpg,Eco at lectern reading papers red curtain background no shelves
